year,year_code,country_name,country_code,region,region_code,economic_fitness_matrix,economic_fitness_ranking
1995,YR1995,Afghanistan,AFG,South Asia,SA,0.068948,99
1995,YR1995,Albania,ALB,Europe & Central Asia,ECA,0.19011,75
1995,YR1995,Algeria,DZA,Middle East & North Africa,MENA,0.026403,110
1995,YR1995,Andorra,AND,Europe & Central Asia,ECA,0.65982,51
1995,YR1995,Angola,AGO,Sub-Saharan Africa,SSA,3.14E-61,147
1995,YR1995,Argentina,ARG,Latin America & Caribbean,LAC,0.78902,46
1995,YR1995,Armenia,ARM,Europe & Central Asia,ECA,0.020267,118
1995,YR1995,Australia,AUS,East Asia & Pacific,EAP,1.1167,36
1995,YR1995,Austria,AUT,Europe & Central Asia,ECA,4.1483,11
1995,YR1995,Azerbaijan,AZE,Europe & Central Asia,ECA,0.026633,109
1995,YR1995,Bahrain,BHR,Middle East & North Africa,MENA,0.050145,102
1995,YR1995,Bangladesh,BGD,South Asia,SA,0.10746,85
1995,YR1995,Belarus,BLR,Europe & Central Asia,ECA,0.49446,58
1995,YR1995,Belgium,BEL,Europe & Central Asia,ECA,5.1239,8
1995,YR1995,Belize,BLZ,Latin America & Caribbean,LAC,0.041225,103
1995,YR1995,Benin,BEN,Sub-Saharan Africa,SSA,0.030684,108
1995,YR1995,Bhutan,BTN,South Asia,SA,0.016536,123
1995,YR1995,Bolivia,BOL,Latin America & Caribbean,LAC,0.076967,95
1995,YR1995,Bosnia and Herzegovina,BIH,Europe & Central Asia,ECA,0.38089,64
1995,YR1995,Brazil,BRA,Latin America & Caribbean,LAC,1.6966,25
1995,YR1995,Brunei Darussalam,BRN,East Asia & Pacific,EAP,0.00011853,142
1995,YR1995,Bulgaria,BGR,Europe & Central Asia,ECA,1.141,35
1995,YR1995,Burkina Faso,BFA,Sub-Saharan Africa,SSA,0.02342,116
1995,YR1995,Burundi,BDI,Sub-Saharan Africa,SSA,0.0066877,128
1995,YR1995,Cambodia,KHM,East Asia & Pacific,EAP,0.023143,117
1995,YR1995,Cameroon,CMR,Sub-Saharan Africa,SSA,0.023974,115
1995,YR1995,Canada,CAN,North America,NA,1.6268,29
1995,YR1995,Central African Republic,CAF,Sub-Saharan Africa,SSA,0.02449,113
1995,YR1995,Chad,TCD,Sub-Saharan Africa,SSA,5.95E-21,144
1995,YR1995,Chile,CHL,Latin America & Caribbean,LAC,0.34157,66
1995,YR1995,China,CHN,East Asia & Pacific,EAP,3.857,13
1995,YR1995,Colombia,COL,Latin America & Caribbean,LAC,0.51624,57
1995,YR1995,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,SSA,0.0055744,130
1995,YR1995,"Congo, Rep.",COG,Sub-Saharan Africa,SSA,0.0013027,136
1995,YR1995,Costa Rica,CRI,Latin America & Caribbean,LAC,0.2412,74
1995,YR1995,Cote d'Ivoire,CIV,Sub-Saharan Africa,SSA,0.077092,94
1995,YR1995,Croatia,HRV,Europe & Central Asia,ECA,1.4443,31
1995,YR1995,Cyprus,CYP,Europe & Central Asia,ECA,0.5435,54
1995,YR1995,Czech Republic,CZE,Europe & Central Asia,ECA,4.7976,10
1995,YR1995,Denmark,DNK,Europe & Central Asia,ECA,2.994,15
1995,YR1995,Ecuador,ECU,Latin America & Caribbean,LAC,0.085125,91
1995,YR1995,"Egypt, Arab Rep.",EGY,Middle East & North Africa,MENA,0.47756,59
1995,YR1995,El Salvador,SLV,Latin America & Caribbean,LAC,0.32847,67
1995,YR1995,Eritrea,ERI,Sub-Saharan Africa,SSA,0.068361,100
1995,YR1995,Estonia,EST,Europe & Central Asia,ECA,1.2526,33
1995,YR1995,Ethiopia,ETH,Sub-Saharan Africa,SSA,0.014415,125
1995,YR1995,Finland,FIN,Europe & Central Asia,ECA,1.7605,24
1995,YR1995,France,FRA,Europe & Central Asia,ECA,6.2065,6
1995,YR1995,Gabon,GAB,Sub-Saharan Africa,SSA,1.38E-30,145
1995,YR1995,"Gambia, The",GMB,Sub-Saharan Africa,SSA,0.093218,88
1995,YR1995,Georgia,GEO,Europe & Central Asia,ECA,0.26247,70
1995,YR1995,Germany,DEU,Europe & Central Asia,ECA,10.273,1
1995,YR1995,Ghana,GHA,Sub-Saharan Africa,SSA,0.0164,124
1995,YR1995,Greece,GRC,Europe & Central Asia,ECA,0.97817,41
1995,YR1995,Greenland,GRL,Europe & Central Asia,ECA,0.0045479,133
1995,YR1995,Guatemala,GTM,Latin America & Caribbean,LAC,0.4216,61
1995,YR1995,Guinea,GIN,Sub-Saharan Africa,SSA,0.0074393,127
1995,YR1995,Guinea-Bissau,GNB,Sub-Saharan Africa,SSA,3.16E-15,143
1995,YR1995,Guyana,GUY,Latin America & Caribbean,LAC,0.0049153,132
1995,YR1995,Honduras,HND,Latin America & Caribbean,LAC,0.18203,77
1995,YR1995,Hungary,HUN,Europe & Central Asia,ECA,2.4427,18
1995,YR1995,Iceland,ISL,Europe & Central Asia,ECA,0.1385,82
1995,YR1995,India,IND,South Asia,SA,2.6222,16
1995,YR1995,Indonesia,IDN,East Asia & Pacific,EAP,1.0307,40
1995,YR1995,"Iran, Islamic Rep.",IRN,Middle East & North Africa,MENA,0.018025,122
1995,YR1995,Iraq,IRQ,Middle East & North Africa,MENA,1.89E-37,146
1995,YR1995,Ireland,IRL,Europe & Central Asia,ECA,1.6294,28
1995,YR1995,Israel,ISR,Middle East & North Africa,MENA,2.3245,20
1995,YR1995,Italy,ITA,Europe & Central Asia,ECA,6.6157,5
1995,YR1995,Japan,JPN,East Asia & Pacific,EAP,7.2301,3
1995,YR1995,Jordan,JOR,Middle East & North Africa,MENA,0.37063,65
1995,YR1995,Kazakhstan,KAZ,Europe & Central Asia,ECA,0.16681,78
1995,YR1995,Kenya,KEN,Sub-Saharan Africa,SSA,0.24584,73
1995,YR1995,"Korea, Dem. Rep.",PRK,East Asia & Pacific,EAP,1.0619,37
1995,YR1995,"Korea, Rep.",KOR,East Asia & Pacific,EAP,2.482,17
1995,YR1995,Kuwait,KWT,Middle East & North Africa,MENA,0.00015943,141
1995,YR1995,Kyrgyz Republic,KGZ,Europe & Central Asia,ECA,0.18602,76
1995,YR1995,Lao PDR,LAO,East Asia & Pacific,EAP,0.025415,111
1995,YR1995,Latvia,LVA,Europe & Central Asia,ECA,0.62726,53
1995,YR1995,Lebanon,LBN,Middle East & North Africa,MENA,0.52656,55
1995,YR1995,Liberia,LBR,Sub-Saharan Africa,SSA,0.0053041,131
1995,YR1995,Libya,LBY,Middle East & North Africa,MENA,0.00047036,138
1995,YR1995,Lithuania,LTU,Europe & Central Asia,ECA,0.92988,45
1995,YR1995,"Macedonia, FYR",MKD,Europe & Central Asia,ECA,0.96362,42
1995,YR1995,Madagascar,MDG,Sub-Saharan Africa,SSA,0.091297,90
1995,YR1995,Malawi,MWI,Sub-Saharan Africa,SSA,0.092657,89
1995,YR1995,Malaysia,MYS,East Asia & Pacific,EAP,1.0528,39
1995,YR1995,Mali,MLI,Sub-Saharan Africa,SSA,0.03445,105
1995,YR1995,Malta,MLT,Middle East & North Africa,MENA,0.2855,68
1995,YR1995,Mauritania,MRT,Sub-Saharan Africa,SSA,0.00030325,139
1995,YR1995,Mexico,MEX,Latin America & Caribbean,LAC,1.8893,21
1995,YR1995,Mongolia,MNG,East Asia & Pacific,EAP,0.020141,119
1995,YR1995,Montenegro,MNE,Europe & Central Asia,ECA,..,..
1995,YR1995,Morocco,MAR,Middle East & North Africa,MENA,0.42505,60
1995,YR1995,Mozambique,MOZ,Sub-Saharan Africa,SSA,0.024877,112
1995,YR1995,Myanmar,MMR,East Asia & Pacific,EAP,0.032911,107
1995,YR1995,Nepal,NPL,South Asia,SA,0.084765,92
1995,YR1995,Netherlands,NLD,Europe & Central Asia,ECA,4.9646,9
1995,YR1995,New Zealand,NZL,East Asia & Pacific,EAP,0.76062,47
1995,YR1995,Nicaragua,NIC,Latin America & Caribbean,LAC,0.14439,79
1995,YR1995,Niger,NER,Sub-Saharan Africa,SSA,0.095892,87
1995,YR1995,Nigeria,NGA,Sub-Saharan Africa,SSA,0.0024274,134
1995,YR1995,Norway,NOR,Europe & Central Asia,ECA,1.0608,38
1995,YR1995,Oman,OMN,Middle East & North Africa,MENA,0.084663,93
1995,YR1995,Pakistan,PAK,South Asia,SA,0.41299,62
1995,YR1995,Panama,PAN,Latin America & Caribbean,LAC,0.96284,43
1995,YR1995,Paraguay,PRY,Latin America & Caribbean,LAC,0.14382,80
1995,YR1995,Peru,PER,Latin America & Caribbean,LAC,0.27603,69
1995,YR1995,Philippines,PHL,East Asia & Pacific,EAP,0.67803,50
1995,YR1995,Poland,POL,Europe & Central Asia,ECA,1.8824,22
1995,YR1995,Portugal,PRT,Europe & Central Asia,ECA,1.3854,32
1995,YR1995,Qatar,QAT,Middle East & North Africa,MENA,0.0022239,135
1995,YR1995,Romania,ROU,Europe & Central Asia,ECA,1.5143,30
1995,YR1995,Russian Federation,RUS,Europe & Central Asia,ECA,0.74716,48
1995,YR1995,Rwanda,RWA,Sub-Saharan Africa,SSA,0.0056875,129
1995,YR1995,Saudi Arabia,SAU,Middle East & North Africa,MENA,0.13243,83
1995,YR1995,Senegal,SEN,Sub-Saharan Africa,SSA,0.037011,104
1995,YR1995,Serbia,SRB,Europe & Central Asia,ECA,..,..
1995,YR1995,Sierra Leone,SLE,Sub-Saharan Africa,SSA,0.14373,81
1995,YR1995,Singapore,SGP,East Asia & Pacific,EAP,1.6845,27
1995,YR1995,Slovak Republic,SVK,Europe & Central Asia,ECA,1.8588,23
1995,YR1995,Slovenia,SVN,Europe & Central Asia,ECA,2.3997,19
1995,YR1995,Somalia,SOM,Sub-Saharan Africa,SSA,0.00096288,137
1995,YR1995,South Africa,ZAF,Sub-Saharan Africa,SSA,0.94555,44
1995,YR1995,Spain,ESP,Europe & Central Asia,ECA,3.9636,12
1995,YR1995,Sudan,SDN,Sub-Saharan Africa,SSA,0.01341,126
1995,YR1995,Suriname,SUR,Latin America & Caribbean,LAC,0.024359,114
1995,YR1995,Sweden,SWE,Europe & Central Asia,ECA,3.3669,14
1995,YR1995,Switzerland,CHE,Europe & Central Asia,ECA,6.132,7
1995,YR1995,Syrian Arab Republic,SYR,Middle East & North Africa,MENA,0.075766,96
1995,YR1995,Tajikistan,TJK,Europe & Central Asia,ECA,0.064967,101
1995,YR1995,Tanzania,TZA,Sub-Saharan Africa,SSA,0.033436,106
1995,YR1995,Thailand,THA,East Asia & Pacific,EAP,1.6888,26
1995,YR1995,Togo,TGO,Sub-Saharan Africa,SSA,0.1192,84
1995,YR1995,Tunisia,TUN,Middle East & North Africa,MENA,0.52585,56
1995,YR1995,Turkey,TUR,Europe & Central Asia,ECA,1.1475,34
1995,YR1995,Turkmenistan,TKM,Europe & Central Asia,ECA,0.018989,121
1995,YR1995,Uganda,UGA,Sub-Saharan Africa,SSA,0.072513,97
1995,YR1995,Ukraine,UKR,Europe & Central Asia,ECA,0.64156,52
1995,YR1995,United Arab Emirates,ARE,Middle East & North Africa,MENA,0.10596,86
1995,YR1995,United Kingdom,GBR,Europe & Central Asia,ECA,6.6168,4
1995,YR1995,United States,USA,North America,NA,7.4409,2
1995,YR1995,Uruguay,URY,Latin America & Caribbean,LAC,0.74337,49
1995,YR1995,Uzbekistan,UZB,Europe & Central Asia,ECA,0.020125,120
1995,YR1995,"Venezuela, RB",VEN,Latin America & Caribbean,LAC,0.25086,72
1995,YR1995,Vietnam,VNM,East Asia & Pacific,EAP,0.26026,71
1995,YR1995,"Yemen, Rep.",YEM,Middle East & North Africa,MENA,0.00019593,140
1995,YR1995,Zambia,ZMB,Sub-Saharan Africa,SSA,0.069616,98
1995,YR1995,Zimbabwe,ZWE,Sub-Saharan Africa,SSA,0.40779,63
1996,YR1996,Afghanistan,AFG,South Asia,SA,0.064491,106
1996,YR1996,Albania,ALB,Europe & Central Asia,ECA,0.44012,68
1996,YR1996,Algeria,DZA,Middle East & North Africa,MENA,0.034917,115
1996,YR1996,Andorra,AND,Europe & Central Asia,ECA,0.6561,55
1996,YR1996,Angola,AGO,Sub-Saharan Africa,SSA,2.21E-105,147
1996,YR1996,Argentina,ARG,Latin America & Caribbean,LAC,0.80379,47
1996,YR1996,Armenia,ARM,Europe & Central Asia,ECA,0.54333,58
1996,YR1996,Australia,AUS,East Asia & Pacific,EAP,1.1428,39
1996,YR1996,Austria,AUT,Europe & Central Asia,ECA,3.9823,11
1996,YR1996,Azerbaijan,AZE,Europe & Central Asia,ECA,0.40006,71
1996,YR1996,Bahrain,BHR,Middle East & North Africa,MENA,0.087234,103
1996,YR1996,Bangladesh,BGD,South Asia,SA,0.12899,89
1996,YR1996,Belarus,BLR,Europe & Central Asia,ECA,0.89852,45
